Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,58.4,700.80,USD,"Number of EC2 instances (4), Number of EIPs per instance (5)"
My Estimate,US East (N. Virginia),Amazon EC2,0,287.36,3448.32,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t3a.xlarge)"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,365,4380.00,USD,Number of Site-to-Site VPN Connections (10)
My Estimate,US East (N. Virginia),S3 Standard,0,77,924.00,USD,S3 Standard storage (1000 GB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
My Estimate,US East (N. Virginia),Amazon RDS for PostgreSQL,0,8544.704,102536.45,USD,"Quantity (2), Storage volume (General Purpose SSD (gp2)), Storage amount (1000 GB per month), Instance type (db.m5.12xlarge), Additional backup storage (1000 GB)"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,1801.27,21615.24,USD,Number of Application Load Balancers (3)
My Estimate,US East (N. Virginia),Amazon RDS for PostgreSQL,0,8498.704,101984.45,USD,"Quantity (2), Storage volume (General Purpose SSD (gp2)), Storage amount (900 GB per month), Instance type (db.m5.12xlarge), Additional backup storage (1000 GB)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."


"We can increase redundancy by adding another DB instamce in another region as the replica and increase the number of load Balancers"
